date,wordcount
2017-11-17,2732
2017-11-16,1453
2017-11-15,1804
2017-11-14,1535
2017-11-13,2068
2017-11-12,1547
2017-11-11,285
2017-11-10,520
2018-04-30,934
2017-07-30,172
2017-07-31,619
2017-10-06,284
2018-03-28,714
2018-03-29,259
2018-03-26,1184
2018-03-27,2156
2018-03-24,1941
2018-03-25,1830
2018-03-22,2253
2018-03-23,2446
2018-03-20,1902
2018-03-21,2772
2016-12-04,311
2016-12-05,37
2016-12-06,186
2016-12-07,177
2017-04-11,3941
2016-12-01,995
2017-04-13,208
2017-04-12,4
2017-01-30,823
2017-01-31,132
2017-04-19,221
2016-12-09,193
2018-06-23,680
2018-01-19,7
2018-01-18,673
2018-01-11,2067
2018-01-10,1894
2018-01-13,147
2018-01-12,301
2018-01-15,997
2018-01-14,275
2018-01-17,582
2018-01-16,214
2017-08-24,825
2017-08-25,1151
2017-08-26,214
2017-05-28,1181
2017-08-20,1012
2017-08-21,6949
2017-08-22,938
2017-08-23,1046
2017-03-03,83
2017-03-02,1548
2017-03-01,1044
2017-05-20,664
2017-03-07,668
2017-08-29,2719
2017-05-25,469
2017-05-24,1775
2018-05-06,1038
2018-05-07,1636
2018-05-04,732
2018-05-02,1952
2018-05-03,2115
2018-05-01,2514
2018-05-08,1033
2018-05-09,1342
2017-09-30,145
2016-11-22,721
2016-11-21,2525
2016-11-20,2891
2016-11-27,632
2016-11-25,67
2016-11-24,67
2016-11-28,309
2017-05-30,1308
2017-05-31,299
2018-02-14,992
2018-02-15,304
2018-02-16,597
2018-02-17,409
2018-02-10,595
2017-06-15,4430
2018-02-12,716
2018-02-13,2757
2018-02-18,451
2018-02-19,1797
2018-06-01,285
2018-06-07,2377
2018-06-06,275
2018-06-05,520
2018-06-04,310
2018-06-03,530
2018-06-02,397
2017-11-28,1771
2017-11-29,1940
2017-11-26,316
2017-11-27,2699
2017-11-24,1573
2017-11-25,205
2017-11-22,1946
2017-11-23,2349
2017-11-20,1332
2017-11-21,302
2018-05-25,513
2018-06-09,173
2018-04-02,281
2018-06-08,2259
2017-10-30,732
2017-10-31,1102
2017-09-01,1193
2017-12-05,1189
2017-12-04,717
2017-12-07,2859
2017-12-06,5285
2017-12-01,825
2017-12-03,558
2017-12-02,1272
2017-12-09,270
2017-12-08,212
2017-10-14,128
2017-10-15,455
2017-10-16,998
2017-10-17,243
2017-06-08,2998
2017-06-09,1767
2017-10-12,1459
2017-10-13,523
2017-06-04,514
2017-06-05,573
2017-06-06,307
2017-06-07,2456
2017-10-18,130
2017-06-01,2359
2017-06-02,2904
2017-06-03,125
2017-11-19,282
2017-11-18,239
2017-06-13,702
2016-12-23,1707
2017-06-11,1094
2016-12-21,1902
2017-06-17,2622
2016-12-27,1983
2017-05-12,1446
2017-03-30,60
2017-03-31,284
2017-05-16,2135
2017-05-17,278
2017-05-14,219
2017-05-15,353
2017-05-18,628
2017-05-19,1183
2016-11-18,152
2016-11-19,2473
2016-11-12,1811
2016-11-13,2090
2016-11-10,696
2016-11-11,26
2016-11-16,141
2016-11-17,788
2016-11-14,3529
2016-11-15,2469
2017-06-18,729
2017-04-20,306
2017-07-29,156
2017-07-28,1537
2016-12-12,487
2017-07-25,461
2017-07-24,3434
2017-07-27,2
2017-07-26,494
2017-07-21,2736
2016-12-11,15
2017-07-23,1553
2016-12-10,10
2017-04-24,821
2016-11-07,14
2018-05-29,291
2017-04-26,170
2016-12-14,681
2018-04-01,785
2018-02-20,1605
2018-04-03,850
2017-02-01,1197
2017-02-02,1962
2017-02-03,124
2017-02-04,774
2017-02-05,280
2017-02-06,369
2017-02-07,752
2017-02-08,1522
2017-02-09,377
2018-04-04,5601
2018-04-07,541
2018-04-06,2277
2018-04-08,444
2017-01-25,288
2017-04-28,349
2017-04-29,2518
2016-12-19,526
2016-12-18,2235
2016-12-13,761
2017-04-21,210
2017-04-22,559
2017-04-23,405
2016-12-17,529
2017-04-25,248
2016-12-15,165
2017-04-27,541
2017-01-28,1696
2017-01-27,399
2017-01-26,444
2017-03-09,3328
2017-01-24,2372
2017-01-23,472
2017-01-22,353
2017-01-21,190
2017-01-20,253
2018-04-05,399
2018-01-28,2065
2018-01-29,272
2017-08-27,1248
2018-01-25,181
2017-08-31,1663
2017-08-30,696
2018-01-20,957
2018-01-21,299
2018-01-22,1002
2018-01-23,616
2017-03-06,2098
2018-05-15,3007
2018-05-14,5901
2018-05-17,2349
2018-05-16,1426
2018-05-11,898
2018-05-10,1238
2018-05-13,993
2018-05-12,959
2018-05-19,549
2018-05-18,318
2017-09-27,532
2017-09-26,23
2017-09-25,1663
2017-09-24,785
2017-09-23,410
2017-09-22,318
2017-09-21,1022
2017-09-20,1598
2017-09-29,245
2017-09-28,172
2018-02-09,1281
2018-02-08,2005
2018-02-03,528
2018-02-02,640
2018-02-01,407
2018-04-20,4457
2018-02-07,353
2018-02-06,2226
2018-02-05,685
2018-02-04,485
2018-01-24,928
2017-06-19,974
2017-05-01,363
2018-01-27,2077
2017-05-03,626
2017-10-10,751
2017-05-02,533
2017-03-25,949
2017-11-30,3370
2017-05-04,566
2017-05-07,468
2017-05-09,247
2018-06-13,631
2017-03-28,1940
2017-12-30,869
2017-12-31,1228
2017-10-09,711
2017-10-08,709
2017-10-03,880
